benchmark,alignment_id,our_query_id,our_source_original,our_source_normalized,t2t_source_id,t2t_source_original,t2t_source_normalized,our_gold_original,t2t_gold_original,normalized_gold,our_prediction,t2t_prediction,our_status,our_original_graph_relationship,t2t_original_published_classification,ours_recomputed_relationship,t2t_recomputed_relationship,alignment_status
OLS-EFO (full),OLS-EFO (full)::2384,2384,Aseptic Necrosis of Bone,Aseptic Necrosis of Bone,NCIT:C35476,Aseptic Necrosis of Bone,Aseptic Necrosis of Bone,EFO:0004259,EFO:0004259,EFO:0004259,EFO:0004259,EFO:0004259,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2385,2385,bone disease,bone disease,DOID:0080001,bone disease,bone disease,EFO:0004260,EFO:0004260,EFO:0004260,EFO:0004260,EFO:0004260,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2386,2386,bone disorder,bone disorder,MONDO:0005381,bone disorder,bone disorder,EFO:0004260,EFO:0004260,EFO:0004260,EFO:0004260,EFO:0004260,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2387,2387,Paget's disease of bone,Paget's disease of bone,DOID:5408,Paget's disease of bone,Paget's disease of bone,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2388,2388,bone Paget disease,bone Paget disease,MONDO:0005382,bone Paget disease,bone Paget disease,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2389,2389,Bone Paget Disease,Bone Paget Disease,NCIT:C3292,Bone Paget Disease,Bone Paget Disease,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,EFO:0004261,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2390,2390,panic disorder,panic disorder,DOID:594,panic disorder,panic disorder,EFO:0004262,EFO:0004262,EFO:0004262,EFO:0004262,EFO:0004262,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2391,2391,Panic Disorder,Panic Disorder,NCIT:C34890,Panic Disorder,Panic Disorder,EFO:0004262,EFO:0004262,EFO:0004262,EFO:0004262,EFO:0004262,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2392,2392,focal epilepsy,focal epilepsy,DOID:2234,focal epilepsy,focal epilepsy,EFO:0004263,EFO:0004263,EFO:0004263,EFO:0004263,EFO:0004263,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2393,2393,Partial Epilepsy,Partial Epilepsy,NCIT:C122812,Partial Epilepsy,Partial Epilepsy,EFO:0004263,EFO:0004263,EFO:0004263,EFO:0004263,EFO:0004263,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2394,2394,vascular disease,vascular disease,DOID:178,vascular disease,vascular disease,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2395,2395,vascular disorder,vascular disorder,MONDO:0005385,vascular disorder,vascular disorder,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2396,2396,Vascular Disorder,Vascular Disorder,NCIT:C35117,Vascular Disorder,Vascular Disorder,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,EFO:0004264,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2397,2397,peripheral artery disease,peripheral artery disease,DOID:0050830,peripheral artery disease,peripheral artery disease,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2398,2398,peripheral arterial disease,peripheral arterial disease,MONDO:0005386,peripheral arterial disease,peripheral arterial disease,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2399,2399,Peripheral Artery Disease,Peripheral Artery Disease,NCIT:C84496,Peripheral Artery Disease,Peripheral Artery Disease,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,EFO:0004265,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2400,2400,primary ovarian insufficiency,primary ovarian insufficiency,DOID:5426,primary ovarian insufficiency,primary ovarian insufficiency,EFO:0004266,EFO:0004266,EFO:0004266,EFO:0004266,HP:0008209,mapped,Same,Unrelated,Same,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2401,2401,primary ovarian failure,primary ovarian failure,MONDO:0005387,primary ovarian failure,primary ovarian failure,EFO:0004266,EFO:0004266,EFO:0004266,EFO:0004266,EFO:0004266,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2402,2402,Primary Ovarian Failure,Primary Ovarian Failure,NCIT:C113352,Primary Ovarian Failure,Primary Ovarian Failure,EFO:0004266,EFO:0004266,EFO:0004266,EFO:0004266,EFO:0004266,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2403,2403,sclerosing cholangitis,sclerosing cholangitis,DOID:14268,sclerosing cholangitis,sclerosing cholangitis,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2404,2404,Cholangite sclérosante,Cholangite sclérosante,HP:0030991,Cholangite sclérosante,Cholangite sclérosante,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2405,2405,Primary Sclerosing Cholangitis,Primary Sclerosing Cholangitis,NCIT:C4828,Primary Sclerosing Cholangitis,Primary Sclerosing Cholangitis,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,EFO:0004268,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2406,2406,restless legs syndrome,restless legs syndrome,DOID:0050425,restless legs syndrome,restless legs syndrome,EFO:0004270,EFO:0004270,EFO:0004270,EFO:0004270,EFO:0004270,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2407,2407,Restless Leg Syndrome,Restless Leg Syndrome,NCIT:C84501,Restless Leg Syndrome,Restless Leg Syndrome,EFO:0004270,EFO:0004270,EFO:0004270,EFO:0004270,EFO:0004270,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2408,2408,anemia,anemia,DOID:2355,anemia,anemia,EFO:0004272,EFO:0004272,EFO:0004272,MONDO:0002280,MONDO:0002280,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2409,2409,Anemi,Anemi,HP:0001903,Anemi,Anemi,EFO:0004272,EFO:0004272,EFO:0004272,MONDO:0002280,MONDO:0002280,mapped,Unrelated,Unrelated,Unrelated,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2410,2410,scoliosis,scoliosis,DOID:0060249,scoliosis,scoliosis,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2411,2411,Escoliosis,Escoliosis,HP:0002650,Escoliosis,Escoliosis,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2412,2412,Scoliosis,Scoliosis,NCIT:C78603,Scoliosis,Scoliosis,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,EFO:0004273,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2413,2413,gout,gout,DOID:13189,gout,gout,EFO:0004274,EFO:0004274,EFO:0004274,EFO:0004274,EFO:0004274,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2414,2414,Gout,Gout,NCIT:C34650,Gout,Gout,EFO:0004274,EFO:0004274,EFO:0004274,EFO:0004274,EFO:0004274,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2415,2415,Stevens-Johnson syndrome,Stevens-Johnson syndrome,DOID:0050426,Stevens-Johnson syndrome,Stevens-Johnson syndrome,EFO:0004276,EFO:0004276,EFO:0004276,EFO:0004276,EFO:0004276,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2416,2416,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome,NCIT:C79484,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome,EFO:0004276,EFO:0004276,EFO:0004276,EFO:0004276,EFO:0004276,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2417,2417,brain infarction,brain infarction,DOID:3454,brain infarction,brain infarction,EFO:0004277,EFO:0004277,EFO:0004277,EFO:0004277,EFO:0004277,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2418,2418,movement disease,movement disease,DOID:480,movement disease,movement disease,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2419,2419,movement disorder,movement disorder,MONDO:0005395,movement disorder,movement disorder,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2420,2420,Movement Disorder,Movement Disorder,NCIT:C116757,Movement Disorder,Movement Disorder,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,EFO:0004280,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2423,2423,thoracic aortic aneurysm,thoracic aortic aneurysm,DOID:14004,thoracic aortic aneurysm,thoracic aortic aneurysm,EFO:0004282,EFO:0004282,EFO:0004282,EFO:0004282,EFO:0004282,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2424,2424,goiter,goiter,DOID:12176,goiter,goiter,EFO:0004283,EFO:0004283,EFO:0004283,EFO:0004283,EFO:0004283,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2425,2425,Bocio,Bocio,HP:0000853,Bocio,Bocio,EFO:0004283,EFO:0004283,EFO:0004283,EFO:0004283,ORPHANET.ORDO:50945,mapped,Same,Unrelated,Same,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2426,2426,Goiter,Goiter,NCIT:C26785,Goiter,Goiter,EFO:0004283,EFO:0004283,EFO:0004283,EFO:0004283,EFO:0004283,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2427,2427,upper aerodigestive tract neoplasm,upper aerodigestive tract neoplasm,EFO:0004284,upper aerodigestive tract neoplasm,upper aerodigestive tract neoplasm,EFO:0004284,EFO:0004284,EFO:0004284,EFO:0004284,EFO:0004284,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2428,2428,Albuminuria,Albuminuria,HP:0012592,Albuminuria,Albuminuria,EFO:0004285,EFO:0004285,EFO:0004285,EFO:0004285,EFO:0004285,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2429,2429,venous thromboembolism,venous thromboembolism,MONDO:0005399,venous thromboembolism,venous thromboembolism,EFO:0004286,EFO:0004286,EFO:0004286,EFO:0004286,EFO:0004286,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2430,2430,Venous Thromboembolism,Venous Thromboembolism,NCIT:C99537,Venous Thromboembolism,Venous Thromboembolism,EFO:0004286,EFO:0004286,EFO:0004286,EFO:0004286,EFO:0004286,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2431,2431,Fibrilace komor,Fibrilace komor,HP:0001663,Fibrilace komor,Fibrilace komor,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0000275,mapped,Same,Sibling,Same,Sibling,matched
OLS-EFO (full),OLS-EFO (full)::2432,2432,ventricular fibrillation,ventricular fibrillation,MONDO:0000190,ventricular fibrillation,ventricular fibrillation,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0004287,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2433,2433,Ventricular Fibrillation,Ventricular Fibrillation,NCIT:C50799,Ventricular Fibrillation,Ventricular Fibrillation,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0004287,EFO:0004287,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2434,2434,colonic neoplasm,colonic neoplasm,EFO:0004288,colonic neoplasm,colonic neoplasm,EFO:0004288,EFO:0004288,EFO:0004288,EFO:0004288,EFO:0004288,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2435,2435,Colon Neoplasm,Colon Neoplasm,NCIT:C2953,Colon Neoplasm,Colon Neoplasm,EFO:0004288,EFO:0004288,EFO:0004288,EFO:0004288,EFO:0004288,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2436,2436,obsolete lymphoid leukemia,obsolete lymphoid leukemia,DOID:10747,obsolete lymphoid leukemia,obsolete lymphoid leukemia,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0004289,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2437,2437,Lenfoid lösemi,Lenfoid lösemi,HP:0005526,Lenfoid lösemi,Lenfoid lösemi,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0008585,mapped,Same,Unrelated,Same,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2438,2438,Lymphoid Leukemia,Lymphoid Leukemia,NCIT:C7539,Lymphoid Leukemia,Lymphoid Leukemia,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0004289,EFO:0004289,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2439,2439,neonatal lupus erythematosus,neonatal lupus erythematosus,MONDO:0018360,neonatal lupus erythematosus,neonatal lupus erythematosus,EFO:0004537,EFO:0004537,EFO:0004537,EFO:0004537,EFO:0004537,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2440,2440,Neonatal Lupus Erythematosus,Neonatal Lupus Erythematosus,NCIT:C99236,Neonatal Lupus Erythematosus,Neonatal Lupus Erythematosus,EFO:0004537,EFO:0004537,EFO:0004537,EFO:0004537,EFO:0004537,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2441,2441,chronic fatigue syndrome,chronic fatigue syndrome,DOID:8544,chronic fatigue syndrome,chronic fatigue syndrome,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2442,2442,myalgic encephalomeyelitis/chronic fatigue syndrome,myalgic encephalomeyelitis/chronic fatigue syndrome,MONDO:0005404,myalgic encephalomeyelitis/chronic fatigue syndrome,myalgic encephalomeyelitis/chronic fatigue syndrome,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2443,2443,Chronic Fatigue Syndrome,Chronic Fatigue Syndrome,NCIT:C3037,Chronic Fatigue Syndrome,Chronic Fatigue Syndrome,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,EFO:0004540,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2444,2444,cryptorchidism,cryptorchidism,DOID:11383,cryptorchidism,cryptorchidism,EFO:0004562,EFO:0004562,EFO:0004562,EFO:0004562,EFO:0004562,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2445,2445,Criptorquidia,Criptorquidia,HP:0000028,Criptorquidia,Criptorquidia,EFO:0004562,EFO:0004562,EFO:0004562,EFO:0004562,MONDO:0018938,mapped,Same,Unrelated,Same,Unrelated,matched
OLS-EFO (full),OLS-EFO (full)::2446,2446,Undescended Testes,Undescended Testes,NCIT:C12326,Undescended Testes,Undescended Testes,EFO:0004562,EFO:0004562,EFO:0004562,EFO:0004562,EFO:0004562,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2447,2447,gestational diabetes,gestational diabetes,DOID:11714,gestational diabetes,gestational diabetes,EFO:0004593,EFO:0004593,EFO:0004593,EFO:0004593,EFO:0004593,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2448,2448,Gestational Diabetes,Gestational Diabetes,NCIT:C34942,Gestational Diabetes,Gestational Diabetes,EFO:0004593,EFO:0004593,EFO:0004593,EFO:0004593,EFO:0004593,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2449,2449,childhood eosinophilic esophagitis,childhood eosinophilic esophagitis,MONDO:0005407,childhood eosinophilic esophagitis,childhood eosinophilic esophagitis,EFO:0004594,EFO:0004594,EFO:0004594,EFO:0004594,EFO:0004594,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2450,2450,diabetes mellitus type 2 associated cataract,diabetes mellitus type 2 associated cataract,MONDO:0005408,diabetes mellitus type 2 associated cataract,diabetes mellitus type 2 associated cataract,EFO:0004596,EFO:0004596,EFO:0004596,EFO:0004596,EFO:0004596,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2451,2451,gallbladder neoplasm,gallbladder neoplasm,MONDO:0021253,gallbladder neoplasm,gallbladder neoplasm,EFO:0004606,EFO:0004606,EFO:0004606,EFO:0004606,EFO:0004606,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2452,2452,Gallbladder Neoplasm,Gallbladder Neoplasm,NCIT:C3048,Gallbladder Neoplasm,Gallbladder Neoplasm,EFO:0004606,EFO:0004606,EFO:0004606,EFO:0004606,EFO:0004606,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2453,2453,duodenal ulcer,duodenal ulcer,DOID:1724,duodenal ulcer,duodenal ulcer,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2454,2454,Duodenal ulcer,Duodenal ulcer,HP:0002588,Duodenal ulcer,Duodenal ulcer,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2455,2455,Duodenal Ulcer,Duodenal Ulcer,NCIT:C26755,Duodenal Ulcer,Duodenal Ulcer,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,EFO:0004607,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2456,2456,cystic fibrosis associated meconium ileus,cystic fibrosis associated meconium ileus,MONDO:0005413,cystic fibrosis associated meconium ileus,cystic fibrosis associated meconium ileus,EFO:0004608,EFO:0004608,EFO:0004608,EFO:0004608,EFO:0004608,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2457,2457,treatment-refractory schizophrenia,treatment-refractory schizophrenia,MONDO:0005414,treatment-refractory schizophrenia,treatment-refractory schizophrenia,EFO:0004609,EFO:0004609,EFO:0004609,EFO:0004609,EFO:0004609,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2458,2458,acute lung injury,acute lung injury,MONDO:0015796,acute lung injury,acute lung injury,EFO:0004610,EFO:0004610,EFO:0004610,EFO:0004610,EFO:0004610,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2459,2459,Acute Lung Injury,Acute Lung Injury,NCIT:C155766,Acute Lung Injury,Acute Lung Injury,EFO:0004610,EFO:0004610,EFO:0004610,EFO:0004610,EFO:0004610,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2460,2460,"osteoarthritis, knee","osteoarthritis, knee",MONDO:0005416,"osteoarthritis, knee","osteoarthritis, knee",EFO:0004616,EFO:0004616,EFO:0004616,EFO:0004616,EFO:0004616,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2461,2461,Kuhnt-Junius degeneration,Kuhnt-Junius degeneration,DOID:10873,Kuhnt-Junius degeneration,Kuhnt-Junius degeneration,EFO:0004683,EFO:0004683,EFO:0004683,EFO:0001365,EFO:0004683,mapped,More General,Same,More General,Same,matched
OLS-EFO (full),OLS-EFO (full)::2462,2462,wet macular degeneration,wet macular degeneration,MONDO:0005417,wet macular degeneration,wet macular degeneration,EFO:0004683,EFO:0004683,EFO:0004683,EFO:0004683,EFO:0004683,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2463,2463,non-compaction cardiomyopathy,non-compaction cardiomyopathy,MONDO:0005418,non-compaction cardiomyopathy,non-compaction cardiomyopathy,EFO:0004686,EFO:0004686,EFO:0004686,EFO:0004686,EFO:0004686,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2464,2464,Insomnia,Insomnia,HP:0100785,Insomnia,Insomnia,EFO:0004698,EFO:0004698,EFO:0004698,EFO:0004698,EFO:0004698,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2465,2465,insomnia,insomnia,MONDO:0013600,insomnia,insomnia,EFO:0004698,EFO:0004698,EFO:0004698,EFO:0004698,EFO:0004698,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2466,2466,metamphetamine dependence,metamphetamine dependence,MONDO:0005419,metamphetamine dependence,metamphetamine dependence,EFO:0004701,EFO:0004701,EFO:0004701,EFO:0004701,EFO:0004701,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2467,2467,hypothyroidism,hypothyroidism,DOID:1459,hypothyroidism,hypothyroidism,EFO:0004705,EFO:0004705,EFO:0004705,EFO:0004705,EFO:0004705,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2468,2468,Hypothyroidism,Hypothyroidism,NCIT:C26800,Hypothyroidism,Hypothyroidism,EFO:0004705,EFO:0004705,EFO:0004705,EFO:0004705,EFO:0004705,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2469,2469,hypertrophic pyloric stenosis,hypertrophic pyloric stenosis,DOID:12638,hypertrophic pyloric stenosis,hypertrophic pyloric stenosis,EFO:0004707,EFO:0004707,EFO:0004707,EFO:0004707,EFO:0004707,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2470,2470,Hypertrophic Pyloric Stenosis,Hypertrophic Pyloric Stenosis,NCIT:C98952,Hypertrophic Pyloric Stenosis,Hypertrophic Pyloric Stenosis,EFO:0004707,EFO:0004707,EFO:0004707,EFO:0004707,EFO:0004707,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2471,2471,"Hodgkin's lymphoma, nodular sclerosis","Hodgkin's lymphoma, nodular sclerosis",DOID:8838,"Hodgkin's lymphoma, nodular sclerosis","Hodgkin's lymphoma, nodular sclerosis",EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2472,2472,nodular sclerosis Hodgkin lymphoma,nodular sclerosis Hodgkin lymphoma,EFO:0004708,nodular sclerosis Hodgkin lymphoma,nodular sclerosis Hodgkin lymphoma,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2473,2473,nodular sclerosis classical Hodgkin lymphoma,nodular sclerosis classical Hodgkin lymphoma,MONDO:0004665,nodular sclerosis classical Hodgkin lymphoma,nodular sclerosis classical Hodgkin lymphoma,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2474,2474,Nodular Sclerosis Classic Hodgkin Lymphoma,Nodular Sclerosis Classic Hodgkin Lymphoma,NCIT:C3518,Nodular Sclerosis Classic Hodgkin Lymphoma,Nodular Sclerosis Classic Hodgkin Lymphoma,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,EFO:0004708,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2475,2475,pelvic organ prolapse,pelvic organ prolapse,MONDO:0000082,pelvic organ prolapse,pelvic organ prolapse,EFO:0004710,EFO:0004710,EFO:0004710,EFO:0004710,EFO:0004710,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2476,2476,elephantiasis,elephantiasis,DOID:4976,elephantiasis,elephantiasis,EFO:0004711,EFO:0004711,EFO:0004711,EFO:0004711,EFO:0004711,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2477,2477,podoconiosis,podoconiosis,DOID:0050138,podoconiosis,podoconiosis,EFO:0004712,EFO:0004712,EFO:0004712,EFO:0004712,EFO:0004712,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2478,2478,sexual dysfunction,sexual dysfunction,DOID:1876,sexual dysfunction,sexual dysfunction,EFO:0004714,EFO:0004714,EFO:0004714,EFO:0004714,EFO:0004714,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2479,2479,MRI defined brain infarct,MRI defined brain infarct,MONDO:0005426,MRI defined brain infarct,MRI defined brain infarct,EFO:0004715,EFO:0004715,EFO:0004715,EFO:0004715,EFO:0004715,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2480,2480,vascular dementia,vascular dementia,DOID:8725,vascular dementia,vascular dementia,EFO:0004718,EFO:0004718,EFO:0004718,EFO:0004718,EFO:0004718,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2481,2481,Vascular Dementia,Vascular Dementia,NCIT:C34525,Vascular Dementia,Vascular Dementia,EFO:0004718,EFO:0004718,EFO:0004718,EFO:0004718,EFO:0004718,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2482,2482,pemphigus vulgaris,pemphigus vulgaris,DOID:0060851,pemphigus vulgaris,pemphigus vulgaris,EFO:0004719,EFO:0004719,EFO:0004719,EFO:0004719,EFO:0004719,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2483,2483,Pemphigus Vulgaris,Pemphigus Vulgaris,NCIT:C34910,Pemphigus Vulgaris,Pemphigus Vulgaris,EFO:0004719,EFO:0004719,EFO:0004719,EFO:0004719,EFO:0004719,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2484,2484,prion disease,prion disease,DOID:649,prion disease,prion disease,EFO:0004720,EFO:0004720,EFO:0004720,EFO:0004720,EFO:0004720,mapped,Same,Same,Same,Same,matched
OLS-EFO (full),OLS-EFO (full)::2485,2485,Transmissible Spongiform Encephalopathy,Transmissible Spongiform Encephalopathy,NCIT:C128346,Transmissible Spongiform Encephalopathy,Transmissible Spongiform Encephalopathy,EFO:0004720,EFO:0004720,EFO:0004720,EFO:0004720,MONDO:0018926,mapped,Same,Sibling,Same,Sibling,matched
OLS-EFO (full),OLS-EFO (full)::2486,2486,early onset hypertension,early onset hypertension,MONDO:0005430,early onset hypertension,early onset hypertension,EFO:0004772,EFO:0004772,EFO:0004772,EFO:0004772,EFO:0004772,mapped,Same,Same,Same,Same,matched
